repo,path,sha256,size_bytes,lines,language,category,role,inventory_scope,origin,executable_mode,shebang,static_flags,measurement_status
.,.agents/skills/yss-research/scripts/validate-research-package.mjs,5e4e437d54e67cce9dd380974744605bd149c71939c5f01e3ea4719c79911d0f,8960,128,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-skill-source-index-refresh/scripts/refresh-yss-skill-index.mjs,32cb834346aafbf657768c602171a2c069844080d5f83eb00da9519b9500eade,16595,394,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": true, ""tree_io"": true, ""network"": true, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-skill-source-index-refresh/scripts/refresh-yss-skill-index.test.mjs,7b081288e5831a7e8dd550d302980226b0ef62d7c766531db760ea9b5551b895,5137,93,JS,skill-script,test,active,scripts,False,,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-stage-decision/scripts/migrate-context-references.mjs,7c710d287ebc1f2d60b05651cd8fdc58fcb1afc0627e756d08cd09bffee10218,3106,62,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",static-only
.,.agents/skills/yss-stage-decision/scripts/validate-domain-strategy.mjs,4c84d493b7e97be66021046c6a2cd7f3594a22d707d8ea0220a7a3e1394c49fa,13272,180,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-stage-decision/scripts/validate-stage-decision-package.mjs,b819b3fdf6a68d600fa4722418ec87761fffa97b39dca866e956bf44592f0958,8822,111,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-tactical-design/scripts/validate-tactical-design.mjs,fe43c921a7d10b88ee9a389fcb30becfc11744050d0ceb760f1ab0e292f917a3,14627,222,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-technical-design/scripts/generate-schema.mjs,b70ae4bdd42eca9e7415ff2fbaba369cf59cfa4cfab592c57262b35cdd716145,1269,20,JS,skill-script,wrapper,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": false}",static-only
.,.agents/skills/yss-technical-design/scripts/validate-technical-design.mjs,85b094a69b3e8b86f7d917fa48f88bddbe0c589a8b0f46da051f9c0eef70714c,10469,134,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-web-controller/scripts/generate_controller.mjs,fc2af1b08b947c0d383a424e13fba455280dc746a97a61837890f485a14e4034,25474,243,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-web-controller/scripts/generate_controller.test.mjs,3e63fdb95276a81916110766aca34945b7ff75d63d78b0350c2b9bb25aa5a0b1,12339,184,JS,skill-script,test,active,scripts,False,,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
